Timestamp,OAT (F),Power (kW)
2010-06-01 00:00:00,61,206.8
2010-06-01 00:15:00,60,221.8
2010-06-01 00:30:00,60,189.1
2010-06-01 00:45:00,60,195.3
2010-06-01 01:00:00,60,217.8
2010-06-01 01:15:00,61,191.8
2010-06-01 01:30:00,61,221.0
2010-06-01 01:45:00,61,198.2
2010-06-01 02:00:00,61,186.1
2010-06-01 02:15:00,60,207.8
2010-06-01 02:30:00,60,191.2
2010-06-01 02:45:00,60,219.4
2010-06-01 03:00:00,60,210.9
2010-06-01 03:15:00,57,197.1
2010-06-01 03:30:00,57,212.3
2010-06-01 03:45:00,57,193.9
2010-06-01 04:00:00,57,214.3
2010-06-01 04:15:00,57,213.3
2010-06-01 04:30:00,57,188.0
2010-06-01 04:45:00,57,199.8
2010-06-01 05:00:00,57,193.4
2010-06-01 05:15:00,57,182.0
2010-06-01 05:30:00,57,221.1
2010-06-01 05:45:00,57,212.4
2010-06-01 06:00:00,57,187.8
2010-06-01 06:15:00,56,188.1
2010-06-01 06:30:00,56,176.7
2010-06-01 06:45:00,56,171.6
2010-06-01 07:00:00,56,192.0
2010-06-01 07:15:00,57,202.4
2010-06-01 07:30:00,57,215.7
2010-06-01 07:45:00,57,199.3
2010-06-01 08:00:00,57,212.5
2010-06-01 08:15:00,58,291.2
2010-06-01 08:30:00,58,284.2
2010-06-01 08:45:00,58,278.7
2010-06-01 09:00:00,58,279.6
2010-06-01 09:15:00,59,282.7
2010-06-01 09:30:00,59,280.4
2010-06-01 09:45:00,59,289.9
2010-06-01 10:00:00,59,292.7
2010-06-01 10:15:00,61,290.6
2010-06-01 10:30:00,61,289.8
2010-06-01 10:45:00,61,273.0
2010-06-01 11:00:00,61,285.4
2010-06-01 11:15:00,63,288.6
2010-06-01 11:30:00,63,283.0
2010-06-01 11:45:00,63,294.6
2010-06-01 12:00:00,63,296.5
2010-06-01 12:15:00,66,296.9
2010-06-01 12:30:00,66,301.6
2010-06-01 12:45:00,66,297.1
2010-06-01 13:00:00,66,292.3
2010-06-01 13:15:00,66,292.7
2010-06-01 13:30:00,66,295.2
2010-06-01 13:45:00,66,295.2
2010-06-01 14:00:00,66,291.2
2010-06-01 14:15:00,69,302.5
2010-06-01 14:30:00,69,297.2
2010-06-01 14:45:00,69,301.5
2010-06-01 15:00:00,69,302.7
2010-06-01 15:15:00,69,304.2
2010-06-01 15:30:00,69,311.8
2010-06-01 15:45:00,69,307.6
2010-06-01 16:00:00,69,307.4
2010-06-01 16:15:00,70,298.8
2010-06-01 16:30:00,70,305.7
2010-06-01 16:45:00,70,300.4
2010-06-01 17:00:00,70,294.3
