Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
5509/2,01/01/2018 00:00:00,00:14:00,0,8,0,0,0,,,,,,,,,,,,,,,73,8
5509/2,01/01/2018 00:00:00,00:29:00,1,34,2,0,1,,,,,,,,,,,,,,,70,37
5509/2,01/01/2018 00:00:00,00:44:00,2,78,1,0,0,,,,,,,,,,,,,,,71,79
5509/2,01/01/2018 00:00:00,00:59:00,3,77,3,1,0,,,,,,,,,,,,,,,70,81
5509/2,01/01/2018 00:00:00,01:14:00,4,53,2,0,0,,,,,,,,,,,,,,,70,55
5509/2,01/01/2018 00:00:00,01:29:00,5,42,0,1,1,,,,,,,,,,,,,,,69,44
5509/2,01/01/2018 00:00:00,01:44:00,6,49,1,0,0,,,,,,,,,,,,,,,68,50
5509/2,01/01/2018 00:00:00,01:59:00,7,28,1,0,1,,,,,,,,,,,,,,,68,30
5509/2,01/01/2018 00:00:00,02:14:00,8,36,1,0,0,,,,,,,,,,,,,,,68,37
5509/2,01/01/2018 00:00:00,02:29:00,9,21,2,3,0,,,,,,,,,,,,,,,71,26
5509/2,01/01/2018 00:00:00,02:44:00,10,18,1,0,1,,,,,,,,,,,,,,,68,20
5509/2,01/01/2018 00:00:00,02:59:00,11,20,0,0,1,,,,,,,,,,,,,,,72,21
5509/2,01/01/2018 00:00:00,03:14:00,12,12,1,0,1,,,,,,,,,,,,,,,69,14
5509/2,01/01/2018 00:00:00,03:29:00,13,17,0,0,0,,,,,,,,,,,,,,,68,17
5509/2,01/01/2018 00:00:00,03:44:00,14,17,0,1,1,,,,,,,,,,,,,,,68,19
5509/2,01/01/2018 00:00:00,03:59:00,15,15,2,0,0,,,,,,,,,,,,,,,70,17
5509/2,01/01/2018 00:00:00,04:14:00,16,20,1,0,0,,,,,,,,,,,,,,,68,21
