TMU ID, Legacy TMU ID, Site Name
C6E971CACBD1789BE0433CC411ACCCEA,30012772,TMU Site 5509/2 on link A3 northbound within the B2070 junction; GPS Ref: 472818;121004; Northbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2018-01-01,00:14:00,14,8,8,0,0,0,118.36,15,103028901,7
2018-01-01,00:29:00,14,37,34,2,0,1,113.01,15,103028901,7
2018-01-01,00:44:00,14,79,78,1,0,0,115.05,15,103028901,7
2018-01-01,00:59:00,14,81,77,3,1,0,113.52,15,103028901,7
2018-01-01,01:14:00,14,55,53,2,0,0,114.24,15,103028901,7
2018-01-01,01:29:00,14,44,42,0,1,1,111.65,15,103028901,7
2018-01-01,01:44:00,14,50,49,1,0,0,110.81,15,103028901,7
2018-01-01,01:59:00,14,30,28,1,0,1,109.44,15,103028901,7
2018-01-01,02:14:00,14,37,36,1,0,0,110.82,15,103028901,7
2018-01-01,02:29:00,14,26,21,2,3,0,114.36,15,103028901,7
2018-01-01,02:44:00,14,20,18,1,0,1,109.75,15,103028901,7
2018-01-01,02:59:00,14,21,20,0,0,1,117.00,15,103028901,7
2018-01-01,03:14:00,14,14,12,1,0,1,111.17,15,103028901,7
2018-01-01,03:29:00,14,17,17,0,0,0,110.48,15,103028901,7
2018-01-01,03:44:00,14,19,17,0,1,1,110.63,15,103028901,7
2018-01-01,03:59:00,14,17,15,2,0,0,112.69,15,103028901,7
2018-01-01,04:14:00,14,21,20,1,0,0,109.71,15,103028901,7
2018-01-01,04:29:00,14,21,19,1,0,1,115.91,15,103028901,7
2018-01-01,04:44:00,14,17,15,2,0,0,117.97,15,103028901,7
2018-01-01,04:59:00,14,25,23,2,0,0,111.82,15,103028901,7
2018-01-01,05:14:00,14,15,11,2,1,1,111.27,15,103028901,7
2018-01-01,05:29:00,14,27,24,2,0,1,117.93,15,103028901,7
2018-01-01,05:44:00,14,23,23,0,0,0,112.92,15,103028901,7
2018-01-01,05:59:00,14,45,39,2,2,2,109.27,15,103028901,7
2018-01-01,06:14:00,14,34,32,0,0,2,113.33,15,103028901,7
2018-01-01,06:29:00,14,38,35,2,1,0,115.62,15,103028901,7
2018-01-01,06:44:00,14,42,38,1,0,3,114.75,15,103028901,7
2018-01-01,06:59:00,14,55,48,3,3,1,112.98,15,103028901,7
2018-01-01,07:14:00,14,49,45,3,1,0,111.80,15,103028901,7
2018-01-01,07:29:00,14,63,62,0,0,1,118.41,15,103028901,7
2018-01-01,07:44:00,14,57,56,1,0,0,110.65,15,103028901,7
2018-01-01,07:59:00,14,63,57,4,1,1,113.51,15,103028901,7
2018-01-01,08:14:00,14,58,53,3,1,1,115.14,15,103028901,7
2018-01-01,08:29:00,14,65,63,1,0,1,116.90,15,103028901,7
2018-01-01,08:44:00,14,73,70,2,0,1,116.82,15,103028901,7
2018-01-01,08:59:00,14,86,79,3,1,3,117.91,15,103028901,7
2018-01-01,09:14:00,14,93,80,8,3,2,112.78,15,103028901,7
2018-01-01,09:29:00,14,118,113,2,0,3,116.34,15,103028901,7
2018-01-01,09:44:00,14,115,101,7,2,5,113.55,15,103028901,7
2018-01-01,09:59:00,14,148,139,6,1,2,116.39,15,103028901,7
2018-01-01,10:14:00,14,146,136,9,0,1,110.91,15,103028901,7
2018-01-01,10:29:00,14,215,201,11,0,3,114.82,15,103028901,7
2018-01-01,10:44:00,14,185,178,4,0,3,115.76,15,103028901,7
2018-01-01,10:59:00,14,241,235,3,3,0,113.41,15,103028901,7
2018-01-01,11:14:00,14,276,264,9,3,0,115.04,15,103028901,7
2018-01-01,11:29:00,14,320,311,8,0,1,116.79,15,103028901,7
2018-01-01,11:44:00,14,347,334,5,4,4,112.83,15,103028901,7
2018-01-01,11:59:00,14,353,338,6,3,6,113.69,15,103028901,7
2018-01-01,12:14:00,14,377,368,5,2,2,110.70,15,103028901,7
2018-01-01,12:29:00,14,419,408,5,2,4,111.08,15,103028901,7
2018-01-01,12:44:00,14,459,442,11,4,2,114.17,15,103028901,7
2018-01-01,12:59:00,14,418,406,8,2,2,113.64,15,103028901,7
2018-01-01,13:14:00,14,426,421,4,0,1,115.62,15,103028901,7
2018-01-01,13:29:00,14,357,347,5,3,2,117.97,15,103028901,7
2018-01-01,13:44:00,14,391,379,8,2,2,117.15,15,103028901,7
2018-01-01,13:59:00,14,402,396,5,0,1,116.22,15,103028901,7
2018-01-01,14:14:00,14,372,364,6,2,0,116.84,15,103028901,7
2018-01-01,14:29:00,14,377,367,4,2,4,117.14,15,103028901,7
2018-01-01,14:44:00,14,363,357,3,2,1,116.55,15,103028901,7
2018-01-01,14:59:00,14,373,364,3,4,2,117.70,15,103028901,7
2018-01-01,15:14:00,14,394,385,3,5,1,118.13,15,103028901,7
2018-01-01,15:29:00,14,406,395,6,3,2,118.11,15,103028901,7
2018-01-01,15:44:00,14,393,390,2,1,0,118.36,15,103028901,7
2018-01-01,15:59:00,14,459,450,5,2,2,116.64,15,103028901,7
2018-01-01,16:14:00,14,472,464,5,3,0,115.98,15,103028901,7
2018-01-01,16:29:00,14,422,411,6,2,3,118.15,15,103028901,7
2018-01-01,16:44:00,14,470,465,4,0,1,113.38,15,103028901,7
2018-01-01,16:59:00,14,388,380,5,2,1,114.30,15,103028901,7
2018-01-01,17:14:00,14,428,419,7,1,1,112.09,15,103028901,7
2018-01-01,17:29:00,14,321,310,9,2,0,116.12,15,103028901,7
2018-01-01,17:44:00,14,338,332,4,1,1,114.32,15,103028901,7
2018-01-01,17:59:00,14,314,306,2,2,4,114.97,15,103028901,7
2018-01-01,18:14:00,14,254,241,9,2,2,114.87,15,103028901,7
2018-01-01,18:29:00,14,256,242,8,3,3,115.16,15,103028901,7
2018-01-01,18:44:00,14,236,226,2,2,6,115.11,15,103028901,7
2018-01-01,18:59:00,14,214,205,5,2,2,115.06,15,103028901,7
2018-01-01,19:14:00,14,185,178,5,1,1,116.02,15,103028901,7
2018-01-01,19:29:00,14,156,145,5,2,4,115.92,15,103028901,7
2018-01-01,19:44:00,14,168,163,2,1,2,115.13,15,103028901,7
2018-01-01,19:59:00,14,173,168,1,1,3,118.27,15,103028901,7
2018-01-01,20:14:00,14,119,116,3,0,0,114.48,15,103028901,7
2018-01-01,20:29:00,14,119,109,2,4,4,114.92,15,103028901,7
2018-01-01,20:44:00,14,98,93,3,0,2,115.85,15,103028901,7
2018-01-01,20:59:00,14,105,103,1,0,1,115.08,15,103028901,7
2018-01-01,21:14:00,14,116,111,3,1,1,115.50,15,103028901,7
2018-01-01,21:29:00,14,92,89,1,0,2,113.99,15,103028901,7
2018-01-01,21:44:00,14,73,69,2,2,0,117.62,15,103028901,7
2018-01-01,21:59:00,14,75,68,3,0,4,113.61,15,103028901,7
2018-01-01,22:14:00,14,48,46,2,0,0,112.16,15,103028901,7
2018-01-01,22:29:00,14,82,63,5,10,4,113.52,15,103028901,7
2018-01-01,22:44:00,14,40,37,1,2,0,115.28,15,103028901,7
2018-01-01,22:59:00,14,30,24,4,0,2,116.54,15,103028901,7
2018-01-01,23:14:00,14,30,29,0,0,1,110.97,15,103028901,7
2018-01-01,23:29:00,14,29,25,2,0,2,115.02,15,103028901,7
2018-01-01,23:44:00,14,16,14,1,1,0,113.54,15,103028901,7
2018-01-01,23:59:00,14,19,17,0,1,1,109.99,15,103028901,7
2018-01-02,00:14:00,0,11,10,0,1,0,106.95,15,103028901,7
2018-01-02,00:29:00,0,16,9,2,0,5,108.37,15,103028901,7
2018-01-02,00:44:00,0,14,11,1,1,1,108.25,15,103028901,7
2018-01-02,00:59:00,0,10,8,0,0,2,110.55,15,103028901,7
